starttime	seconds	ctime	dtime	ttime	wait
Wed May 27 07:30:18 2026	1779867018	0	5	5	0
Wed May 27 07:30:18 2026	1779867018	0	5	5	0
Wed May 27 07:30:18 2026	1779867018	0	6	6	0
Wed May 27 07:30:18 2026	1779867018	0	6	6	0
Wed May 27 07:30:18 2026	1779867018	0	6	6	0
Wed May 27 07:30:18 2026	1779867018	0	6	6	0
Wed May 27 07:30:18 2026	1779867018	0	6	6	0
Wed May 27 07:30:18 2026	1779867018	0	6	6	0
Wed May 27 07:30:18 2026	1779867018	0	6	6	0
Wed May 27 07:30:18 2026	1779867018	0	6	6	0
Wed May 27 07:30:18 2026	1779867018	0	6	6	0
Wed May 27 07:30:18 2026	1779867018	0	7	7	0
Wed May 27 07:30:18 2026	1779867018	0	7	7	0
Wed May 27 07:30:18 2026	1779867018	0	7	7	0
Wed May 27 07:30:18 2026	1779867018	0	7	7	0
Wed May 27 07:30:18 2026	1779867018	0	7	7	0
Wed May 27 07:30:18 2026	1779867018	0	7	7	0
Wed May 27 07:30:18 2026	1779867018	0	7	7	0
Wed May 27 07:30:18 2026	1779867018	0	7	7	0
Wed May 27 07:30:18 2026	1779867018	0	7	7	0
Wed May 27 07:30:18 2026	1779867018	0	7	7	0
Wed May 27 07:30:18 2026	1779867018	0	7	7	0
Wed May 27 07:30:18 2026	1779867018	0	7	8	0
Wed May 27 07:30:18 2026	1779867018	0	7	8	0
Wed May 27 07:30:18 2026	1779867018	0	8	8	0
Wed May 27 07:30:18 2026	1779867018	0	8	8	0
Wed May 27 07:30:18 2026	1779867018	0	8	9	0
Wed May 27 07:30:18 2026	1779867018	0	8	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	9	0
Wed May 27 07:30:18 2026	1779867018	0	9	10	0
Wed May 27 07:30:18 2026	1779867018	0	9	10	0
Wed May 27 07:30:18 2026	1779867018	0	9	10	0
Wed May 27 07:30:18 2026	1779867018	0	9	10	0
Wed May 27 07:30:18 2026	1779867018	0	9	10	0
Wed May 27 07:30:18 2026	1779867018	0	9	10	0
Wed May 27 07:30:18 2026	1779867018	0	9	10	0
Wed May 27 07:30:18 2026	1779867018	0	9	10	0
Wed May 27 07:30:18 2026	1779867018	0	10	10	0
Wed May 27 07:30:18 2026	1779867018	0	10	10	0
Wed May 27 07:30:18 2026	1779867018	0	10	10	0
Wed May 27 07:30:18 2026	1779867018	0	10	10	0
Wed May 27 07:30:18 2026	1779867018	0	10	10	0
Wed May 27 07:30:18 2026	1779867018	0	10	10	0
Wed May 27 07:30:18 2026	1779867018	0	10	10	0
Wed May 27 07:30:18 2026	1779867018	0	10	10	0
Wed May 27 07:30:18 2026	1779867018	0	10	11	0
Wed May 27 07:30:18 2026	1779867018	0	11	11	0
Wed May 27 07:30:18 2026	1779867018	0	11	11	0
Wed May 27 07:30:18 2026	1779867018	0	11	11	0
Wed May 27 07:30:18 2026	1779867018	0	11	11	0
Wed May 27 07:30:18 2026	1779867018	0	11	11	0
Wed May 27 07:30:18 2026	1779867018	0	11	11	0
Wed May 27 07:30:18 2026	1779867018	0	11	11	0
Wed May 27 07:30:18 2026	1779867018	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:18 2026	1779867018	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	11	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:18 2026	1779867018	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	1
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:18 2026	1779867018	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:18 2026	1779867018	0	11	12	0
Wed May 27 07:30:18 2026	1779867018	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:18 2026	1779867018	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	1	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:18 2026	1779867018	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:18 2026	1779867018	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:18 2026	1779867018	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:13 2026	1779867013	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:13 2026	1779867013	0	11	12	0
Wed May 27 07:30:13 2026	1779867013	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
Wed May 27 07:30:12 2026	1779867012	0	11	12	0
